Province_State,Confirmed,Total_Test_Results
Alabama,814025,5918858.0
Alaska,127767,3197451.0
American Samoa,3,2140.0
Arizona,1131976,13221102.0
Arkansas,506956,4015997.0
California,4812309,97293058.0
Colorado,704839,11610189.0
Connecticut,397123,10343140.0
Delaware,139874,2306917.0
Diamond Princess,49,
District of Columbia,62976,2135437.0
Florida,3664097,40993329.0
Georgia,1615699,12062961.0
Grand Princess,103,
Guam,16795,238366.0
Hawaii,82394,2462481.0
Idaho,277167,990676.0
Illinois,1665777,33718807.0
Indiana,996341,14053792.0
Iowa,469519,1690447.0
Kansas,424081,1792319.0
Kentucky,723889,7142407.0
Louisiana,751874,9505694.0
Maine,97725,2843382.0
Maryland,550550,13611086.0
Massachusetts,833311,29885632.0
Michigan,1219715,16896062.0
Minnesota,755401,11684929.0
Mississippi,497790,2513240.0
Missouri,846806,7288321.0
Montana,164669,1948695.0
Nebraska,275694,3810682.0
Nevada,430665,4423890.0
New Hampshire,128047,2540312.0
New Jersey,1181284,15901904.0
New Mexico,263755,4724385.0
New York,2506247,73283669.0
North Carolina,1446881,16348326.0
North Dakota,141484,1825164.0
Northern Mariana Islands,289,17542.0
Ohio,1496675,16793290.0
Oklahoma,631872,4592848.0
Oregon,348766,7256444.0
Pennsylvania,1509486,18058457.0
Puerto Rico,183848,2938405.0
Rhode Island,176405,5517674.0
South Carolina,883982,9201756.0
South Dakota,149996,971341.0
Tennessee,1263068,10140415.0
Texas,4180032,34176828.0
Utah,529147,4356472.0
Vermont,37318,2203868.0
Virgin Islands,7074,191951.0
Virginia,902938,9643750.0
Washington,695016,9842443.0
West Virginia,260444,4132681.0
Wisconsin,855207,11190692.0
Wyoming,97137,1025326.0
